Model,Design_Cell,Method_Variant,Metric,Datasets_Evaluated,Mean_mu,LCL_mu_minus_2sig,UCL_mu_plus_2sig,Pct_In_Limits,Pct_Out_Limits,"Control_Limits_[LCL, UCL]"
ModelC_Complex,"p=10, N=50",Beta_eta_200,Hoffmann Complexity,155,1.0508,0.9076,1.194,95.48,4.52,"[0.9076, 1.1940]"
ModelC_Complex,"p=10, N=50",Beta_eta_200,Kaiser IFS,155,0.9666,0.8772,1.056,93.55,6.45,"[0.8772, 1.0560]"
ModelC_Complex,"p=10, N=50",Beta_eta_400,Hoffmann Complexity,155,1.0141,0.9492,1.0791,90.32,9.68,"[0.9492, 1.0791]"
ModelC_Complex,"p=10, N=50",Beta_eta_400,Kaiser IFS,155,0.9901,0.9447,1.0356,92.9,7.1,"[0.9447, 1.0356]"
ModelC_Complex,"p=15, N=75",PAF,Hoffmann Complexity,126,1.3164,1.1007,1.5321,94.44,5.56,"[1.1007, 1.5321]"
ModelC_Complex,"p=15, N=75",PAF,Kaiser IFS,126,0.7426,0.6521,0.8331,96.03,3.97,"[0.6521, 0.8331]"
ModelC_Complex,"p=15, N=75",Beta_eta_25,Hoffmann Complexity,126,1.1865,1.0013,1.3718,94.44,5.56,"[1.0013, 1.3718]"
ModelC_Complex,"p=15, N=75",Beta_eta_25,Kaiser IFS,126,0.8985,0.8033,0.9938,96.83,3.17,"[0.8033, 0.9938]"
ModelC_Complex,"p=15, N=75",Beta_eta_50,Hoffmann Complexity,126,1.1805,0.9905,1.3705,95.24,4.76,"[0.9905, 1.3705]"
ModelC_Complex,"p=15, N=75",Beta_eta_50,Kaiser IFS,126,0.9021,0.8037,1.0005,96.83,3.17,"[0.8037, 1.0005]"
ModelC_Complex,"p=15, N=75",Beta_eta_100,Hoffmann Complexity,126,1.1564,0.9546,1.3583,97.62,2.38,"[0.9546, 1.3583]"
ModelC_Complex,"p=15, N=75",Beta_eta_100,Kaiser IFS,126,0.9164,0.8072,1.0255,97.62,2.38,"[0.8072, 1.0255]"
ModelC_Complex,"p=15, N=75",Beta_eta_200,Hoffmann Complexity,126,1.1018,0.9193,1.2844,96.03,3.97,"[0.9193, 1.2844]"
ModelC_Complex,"p=15, N=75",Beta_eta_200,Kaiser IFS,126,0.9481,0.8597,1.0366,95.24,4.76,"[0.8597, 1.0366]"
ModelC_Complex,"p=15, N=75",Beta_eta_400,Hoffmann Complexity,126,1.0375,0.9468,1.1282,95.24,4.76,"[0.9468, 1.1282]"
ModelC_Complex,"p=15, N=75",Beta_eta_400,Kaiser IFS,126,0.9807,0.9369,1.0246,94.44,5.56,"[0.9369, 1.0246]"
